Entity,Code,Year,memory,flash,disk_drives,ssd
World,OWID_WRL,1957,411041792,,,
World,OWID_WRL,1959,67947725,,7600,
World,OWID_WRL,1960,5242880,,3600,
World,OWID_WRL,1965,2642412,,,
World,OWID_WRL,1970,734003,,259.7,
World,OWID_WRL,1973,399360,,,
World,OWID_WRL,1974,314573,,185,
World,OWID_WRL,1975,49920,,,
World,OWID_WRL,1976,23040,,,
World,OWID_WRL,1978,15200,,,
World,OWID_WRL,1979,6704,,,
World,OWID_WRL,1980,6480,,,
World,OWID_WRL,1981,4479,,,
World,OWID_WRL,1982,1980,,,
World,OWID_WRL,1984,1331,,,
World,OWID_WRL,1985,300,,31.39,
World,OWID_WRL,1986,190,,24.45,
World,OWID_WRL,1987,133,,14.97,
World,OWID_WRL,1989,113,,7.48,
World,OWID_WRL,1990,46,,3.27,
World,OWID_WRL,1991,40,,2.79,
World,OWID_WRL,1992,26.3,,1.4,
World,OWID_WRL,1996,5.25,,0.128,
World,OWID_WRL,1997,2.16,,0.0484,
World,OWID_WRL,1998,0.84,,0.0248,
World,OWID_WRL,1999,0.78,,0.0088,
World,OWID_WRL,2000,0.7,,0.00407,
World,OWID_WRL,2001,0.15,,0.00259,
World,OWID_WRL,2002,0.13,,0.00122,
World,OWID_WRL,2003,0.076,0.191,0.00106,
World,OWID_WRL,2006,0.073,0.0146,0.000219,
World,OWID_WRL,2007,0.024,0.00732,0.0002,
World,OWID_WRL,2008,0.01,0.00183,0.0001,
World,OWID_WRL,2011,0.0051,0.001007,0.0000367,
World,OWID_WRL,2012,0.0037,0.00058,,
World,OWID_WRL,2016,0.0027,,0.0000277,0.000203
World,OWID_WRL,2005,,0.0762,0.000406,
World,OWID_WRL,2009,,0.00162,0.00007,
World,OWID_WRL,2010,,0.00119,0.000045,
World,OWID_WRL,2013,,0.000458,,0.000625
World,OWID_WRL,2014,,0.000335,0.000035,0.000375
World,OWID_WRL,2015,,0.000145,0.0000283,0.00025
World,OWID_WRL,1956,,,9200,
World,OWID_WRL,1964,,,3518.62,
World,OWID_WRL,1966,,,1047.26,
World,OWID_WRL,1988,,,9.97,
World,OWID_WRL,1993,,,0.718,
World,OWID_WRL,1994,,,0.433,
World,OWID_WRL,1995,,,0.214,
World,OWID_WRL,2004,,,0.000609,
World,OWID_WRL,2017,,,0.000025,
World,OWID_WRL,2018,,,0.0000234,0.000104
World,OWID_WRL,2019,,,0.0000187,0.0000792
World,OWID_WRL,2020,,,0.0000162,0.000075
